"","Adjusted","Implementation_year","Reserve_size","C_change","B_change","PV_change","C_per","B_per","PV_per","Transition_period","Payoff_period","B_per_50","Loss"
"34","IUU",2020,0.7,-62270.3670040167,3400248.46244415,-4752285.4130014,-10.8855659956568,228.190874940177,-9.53369195689739,2072,NA,255.707464973156,78161.5375569698
"35","IUU",2020,0.75,-94749.0509000167,3568364.51414416,-7945805.24154504,-16.5632080911205,239.47315308915,-15.9403009160908,2080,NA,270.48017404385,100668.829297676
"36","IUU",2020,0.8,-118636.627452017,3717894.64274415,-10703078.6092612,-20.7390272414449,249.508128842252,-21.4717437155586,2084,NA,283.392112196373,119864.966403337
"37","IUU",2020,0.85,-238416.637353017,4253091.33604416,-21827744.5788392,-41.6779306953726,285.425210507934,-43.78924556155,2104,NA,331.083053678342,226907.390173874
"38","IUU",2020,0.9,-266863.306929017,4354563.64244416,-24117316.475985,-46.6507309842518,292.23502297763,-48.3824194312926,2108,NA,340.274818162018,255393.88992646
"39","IUU",2020,0.95,-301766.787443017,4477009.60694415,-26937178.1936045,-52.7522550139522,300.452378879929,-54.0394224604632,2112,NA,351.471426392506,291401.438767455
"40","IUU",2020,1,-330356.483875217,4569226.31934415,-29084843.9398381,-57.7500580185246,306.641047890174,-58.3479144535902,2116,NA,359.798475555644,323909.972139511
"41","IUU",2025,0.05,5413.45977042522,159378.940819869,1312353.35068009,0.905465910506842,10.2472061569454,2.63274866141981,2031,2044,11.4636801901797,1166.84459184085
"42","IUU",2025,0.1,22531.7229754252,282900.914929869,3948877.86862762,3.76870022581303,18.1890027776709,7.921954035742,2030,2038,19.4799750281405,2039.20052806729
"43","IUU",2025,0.15,37207.1054854252,410245.162349869,6134464.86848701,6.22333351948755,26.3765509537416,12.30652107732,2030,2038,27.8859442511302,2956.5362180673
"44","IUU",2025,0.2,49385.2409314252,541959.022609869,7847350.50901639,8.2602723659033,34.8450416644231,15.7427887371937,2030,2038,36.6859786527343,3956.36005806729
"45","IUU",2025,0.25,60581.8682254252,672614.360459869,9408253.75754736,10.1330422316284,43.2454750941287,18.8741602813332,2030,2038,45.5077961083627,4948.66377806729
"46","IUU",2025,0.3,73625.4960494252,919721.448809868,11158424.9792363,12.3147450325791,59.1331279053419,22.3852275855536,2030,2040,62.6883380266122,6905.71200806729
"47","IUU",2025,0.35,81978.3446514253,1190027.57657987,12186765.8788779,13.7118588905327,76.5123538086898,24.4482109471702,2031,2042,81.9462484459856,8639.85461784086
"48","IUU",2025,0.4,84884.0494044252,1424102.64483987,12346545.8053221,14.1978727728586,91.562118026738,24.7687499142476,2031,2045,99.0779937518132,10740.9194438409
"49","IUU",2025,0.45,73004.4465264252,1952453.04134987,10860264.0603968,12.210867069934,125.532198441947,21.7870786498607,2032,2059,139.474994639988,15474.1391723823
"50","IUU",2025,0.5,81893.4537864252,1839740.77867987,11557090.4385066,13.69765987777,118.285407955991,23.1850014831127,2032,2053,130.447537809691,14260.1231873823
"51","IUU",2025,0.55,40033.9685374253,2605599.46015987,6743872.18951316,6.69616018409881,167.525989903901,13.5290701018335,2035,2112,191.622993130879,23069.7085741842
"52","IUU",2025,0.6,42383.1435994252,2522363.06507987,7338600.89256375,7.08908781756428,162.174338702318,14.7221719414051,2035,2107,184.873210430764,21751.7510731842
"53","IUU",2025,0.65,-28022.2003485748,3213421.19109987,810466.560137689,-4.68704825177529,206.605648430764,1.6258995721101,2070,NA,242.619501538622,47019.9112877231
"54","IUU",2025,0.7,-31959.6853095748,3223259.54137987,567795.385226734,-5.34563971758734,207.238201282758,1.13907015945161,2072,NA,243.586814183156,49349.0678609698
"55","IUU",2025,0.75,-122942.335551575,3802198.43273987,-6349374.71491641,-20.5635764411158,244.46084902732,-12.7376577145829,2092,NA,293.819680808598,118095.805167592
"56","IUU",2025,0.8,-129638.411026575,3814159.33140987,-6601016.08847565,-21.6835751727804,245.229870291129,-13.2424824929496,2096,NA,295.102814631539,124595.104381472
"57","IUU",2025,0.85,-210509.747517575,4198691.43457987,-11891652.1314365,-35.2102737047945,269.953210243552,-23.8561750270116,2112,NA,329.292847679164,203333.794616455
"58","IUU",2025,0.9,-233759.758790575,4279289.47247987,-13166854.1221242,-39.099116241616,275.135229310551,-26.414393308912,2116,NA,336.752521278607,226819.529338311
"59","IUU",2025,0.95,-319534.128922575,4604859.04769987,-18075174.6724789,-53.4459058075097,296.067596777336,-36.2611120695788,NA,NA,366.180655843273,NA
"60","IUU",2025,1,-330142.651677075,4637652.12689987,-18615636.8898799,-55.2203081532173,298.176014874198,-37.3453483986689,NA,NA,369.327623494174,NA
"61","IUU",2030,0.05,5896.50681748462,159406.344809331,1038673.75726115,0.945572200562308,9.84047250974768,2.08371312473547,2035,2045,11.6242035351512,969.68684818421
"62","IUU",2030,0.1,23665.2674054847,283456.309289332,2984805.18712544,3.79499586282942,17.4983249419123,5.98790303472359,2035,2041,19.8121665055471,1594.96399818422
"63","IUU",2030,0.15,38487.6732834846,408186.696639332,4544752.26795512,6.17193790283999,25.1981812388243,9.11735747938838,2034,2041,28.1535402372142,2586.77292586233
"64","IUU",2030,0.2,51565.5796024847,542013.000429332,5889649.72053899,8.26912951807496,33.4595466512351,11.8153947156057,2035,2041,37.2196576170831,3075.1636581842
"65","IUU",2030,0.25,78112.3974924847,911892.905029332,8521967.63685497,12.5262149056031,56.2929729962028,17.0961629571825,2035,2042,62.8090000685276,5401.42061518421
"66","IUU",2030,0.3,76832.4390324847,920741.376919331,8496985.08093629,12.3209589506602,56.8392068646913,17.0460447373918,2035,2042,63.5554997939165,5455.88530118423
"67","IUU",2030,0.35,89030.8604514847,1325135.96486933,9626967.65295517,14.2771151193171,81.8032936491451,19.3129350863372,2035,2045,92.7912038197056,8189.05838618422
"68","IUU",2030,0.4,83096.7356334847,1049108.59602933,9046205.4685032,13.3255104428111,64.7635720605412,18.1478514615389,2035,2043,72.6350405658542,6309.9511611842
"69","IUU",2030,0.45,84424.5182884847,1938228.14998933,9295890.1957245,13.5384355535282,119.650700543964,18.6487511324124,2036,2053,139.401206391335,12253.808097915
"70","IUU",2030,0.5,76006.5475554847,2051126.19851933,8839845.32884254,12.188517821445,126.620122898466,17.7338664846131,2036,2058,148.604482754007,13182.728096915
"71","IUU",2030,0.55,53201.2521984846,2504305.32559933,7184539.69263078,8.53142829663533,154.595776862279,14.4131105152719,2038,2094,185.18257373585,16780.6276722227
"72","IUU",2030,0.6,61082.3661114846,2392095.71095933,7700209.1248614,9.79525490724826,147.668852908813,15.4476097085481,2037,2083,175.942676394393,15931.0807106946
"73","IUU",2030,0.65,-13724.0724185153,3185182.81656933,3255629.31372087,-2.20081172788127,196.627706271428,6.53121105915077,2083,NA,242.950482550084,38510.8168408198
"74","IUU",2030,0.7,-41392.6563785153,3353996.53422933,2025734.79111117,-6.63778511421254,207.04891472388,4.06388448919898,2097,NA,257.956013897981,56959.6427198523
"75","IUU",2030,0.75,-90405.7972335153,3688603.52376933,-490028.947059408,-14.4976019327578,227.704873469288,-0.98306108279894,2111,NA,287.720104333607,99269.6037656335
"76","IUU",2030,0.8,-104134.270835515,3743529.48646933,-978114.775863953,-16.6991194406681,231.095563009703,-1.96222402050442,2111,NA,292.722722920811,109528.704623634
"77","IUU",2030,0.85,-209143.117120515,4244512.73860933,-5350295.18984113,-33.538487041463,262.02226123131,-10.7333801690322,2125,NA,338.295952267213,207445.050633575
"78","IUU",2030,0.9,-249918.017967515,4391848.79883933,-6801287.76058002,-40.0772080020291,271.117610930985,-13.6442578555107,NA,NA,351.783546647871,NA
