"","Name","Adjusted","r","r.low","r.hi","k","k.low","k.hi","msy","msy.low","msy.hi","bmsy","bmsy.low","bmsy.hi","year","catch","catch_ma","b","b_lo","b_hi","bbmsy","bbmsy_lo","bbmsy_hi","s","s_lo","s_hi","f","f_lo","f_hi","fmsy","fmsy_lo","fmsy_hi","ffmsy","ffmsy_lo","ffmsy_hi","er"
"2","Atrina","IUU",0.282239296140523,0.163449696933239,0.487361076713619,15499.4622951027,4671.71609233823,51422.930394101,1093.63933218159,304.09181869955,3933.17713712092,7749.73114755136,2335.85804616912,25711.4651970505,2015,381.228,607.3874,2488.515412316,227.669074951883,4592.7708678331,0.321109902387038,0.0293776739627694,0.59263615477606,0.160554951193519,0.0146888369813847,0.29631807738803,0.153194952345182,0.0830061004501768,1.67448301918287,0.0906298328334697,0.0524853162274232,0.156496467770752,1.69033691838177,0.91588054236731,18.4760687163541,1.08556784572555
"3","Atrina","IUU_20",0.282239296140523,0.163449696933239,0.487361076713619,18770.2125423856,5773.64476347903,61022.2646732483,1324.42289409274,383.218591091274,4577.27271895119,9385.10627119282,2886.82238173951,30511.1323366242,2015,457.4736,728.86488,3049.16915137415,274.593797482925,5542.87082740737,0.324894472504104,0.0292584643741093,0.590602883679748,0.162447236252052,0.0146292321870546,0.295301441839874,0.150032214445641,0.0825336931429051,1.66600121413321,0.0916979872395048,0.0531039030660803,0.158340919937903,1.63615602656331,0.900060029969211,18.1683509560771,1.06315609836939
"4","Atrina","IUU_40",0.282239296140523,0.163449696933239,0.487361076713619,21558.9511750721,6563.2829552512,70816.4464244637,1521.19580129507,431.330096937632,5364.88569266785,10779.475587536,3281.6414776256,35408.2232122319,2015,533.7192,850.34236,3488.63850110071,305.46492684156,6377.59205091227,0.323637126200695,0.0283376426210157,0.591642144288213,0.161818563100347,0.0141688213105079,0.295821072144106,0.152987820271893,0.0836866321551024,1.74723561725576,0.0913431147038257,0.0528983901938479,0.157728138289672,1.67486975638991,0.916178875949775,19.1282684296574,1.08410006943698
"5","Atrina","IUU_60",0.282239296140523,0.163449696933239,0.487361076713619,25064.9718015837,7590.51541230298,82768.1359286737,1768.57999976527,496.320286419939,6302.13050151895,12532.4859007919,3795.25770615149,41384.0679643369,2015,609.9648,971.81984,4079.35619920118,361.849900918368,7414.67364770368,0.325502556435626,0.0288729549574442,0.591636304752212,0.162751278217813,0.0144364774787221,0.295818152376106,0.149524770629111,0.0822645512104104,1.68568458482902,0.091869612420332,0.0532032942003975,0.158637276377502,1.62757593822198,0.895448985177215,18.3486632894072,1.05956025736873
"6","Callinectes","IUU",1.19422805790246,0.962111433293847,1.48234456522241,6366.84784668048,4563.10229002174,8883.59474023247,1900.86708472543,1511.39889822411,2390.69624705838,3183.42392334024,2281.55114501087,4441.79737011623,2015,796.56,1072.65698,1708.62348198224,145.97193106053,2511.24100682841,0.536725086927616,0.0458537519902052,0.78884907172321,0.268362543463808,0.0229268759951026,0.394424535861605,0.466199843558206,0.317197751165278,5.45693952400817,0.59711402895123,0.481055716646924,0.741172282611206,0.780755133784143,0.531218051805622,9.13885666627651,0.780755133784143
"7","Callinectes","IUU_20",1.18234529018492,0.952538264580747,1.46759499035743,7737.90871163237,5535.12559208192,10817.3211670587,2287.21998026985,1811.77745190854,2887.42705823767,3868.95435581619,2767.56279604096,5408.66058352936,2015,955.872,1287.188376,2247.90801969858,297.459261333832,3072.30337379278,0.581011770355808,0.0768836315907067,0.794091398151077,0.290505885177904,0.0384418157953533,0.397045699075539,0.425227363230001,0.311125524957508,3.21345516597396,0.591172645092461,0.476269132290374,0.733797495178716,0.71929472170265,0.526285388101554,5.43573048017364,0.71929472170265
"8","Callinectes","IUU_40",1.19422805790246,0.962111433293847,1.48234456522241,8959.22946152101,6418.44306806364,12505.8042414641,2674.84080003369,2125.09798149522,3366.79690434356,4479.6147307605,3209.22153403182,6252.90212073204,2015,1115.184,1501.719772,2358.06395792748,225.307891758829,3519.95199019227,0.5263988310725,0.0502962654827635,0.78577114367036,0.26319941553625,0.0251481327413818,0.39288557183518,0.47292355928299,0.316817957491257,4.94960026164419,0.59711402895123,0.481055716646924,0.741172282611206,0.792015488421252,0.530582002984782,8.28920444280578,0.792015488421252
"9","Callinectes","IUU_60",1.19124621661236,0.957432554090967,1.48215928373209,10245.2440447676,7247.24168459891,14483.4448890957,3051.15205164992,2375.58000781116,3918.84458181866,5122.62202238379,3623.62084229945,7241.72244454787,2015,1274.496,1716.251168,3082.49909523443,255.727693439957,4059.33177830143,0.601742443960369,0.0499212497667269,0.792432422412544,0.300871221980185,0.0249606248833635,0.396216211206272,0.413461921844642,0.313966945695997,4.98380125693834,0.595623108306179,0.478716277045483,0.741079641866047,0.694167026226429,0.527123513707938,8.36737391051058,0.694167026226429
"10","Cephalopholis","IUU",0.453277843706809,0.391679059615924,0.524564177101955,1527.63579908677,1008.04775971551,2315.04024701178,173.110865244845,102.046790222768,293.663050061644,763.817899543383,504.023879857754,1157.52012350589,2015,229.74737,166.296406666667,414.68990395549,34.1750148327158,602.549064873067,0.542917237476885,0.0447423592104164,0.788864813502376,0.271458618738443,0.0223711796052082,0.394432406751188,0.55402209653182,0.381292384958557,6.72267067401716,0.226638921853405,0.195839529807962,0.262282088550978,2.44451434908508,1.68237821571171,29.6624720018989,2.44451434908508
"11","Cephalopholis","IUU_20",0.453277843706809,0.391679059615924,0.524564177101955,1831.22317752624,1220.31222091646,2747.96750244038,207.513223313756,124.705861565506,345.306445980049,915.611588763118,610.156110458232,1373.98375122019,2015,275.696844,199.555688,505.74107052263,41.9801115281869,724.123384323943,0.552353286840576,0.045849257527307,0.790863061598147,0.276176643420288,0.0229246287636535,0.395431530799073,0.545134378181105,0.38073186140425,6.56732042779085,0.226638921853405,0.195839529807962,0.262282088550978,2.40529902685343,1.67990501494936,28.9770193666856,2.40529902685343
